Timestamp,Direction,Hex,ASCII,Decimal,Length
"14:41:04.919","PC->DEV","00",".","000",1
"14:41:04.924","DEV->PC","00",".","000",1
"14:41:04.969","PC->DEV","81",".","129",1
"14:41:05.008","PC->DEV","10 FC 81","...","016 252 129",3
"14:41:05.010","PC->DEV","0E",".","014",1
"14:41:05.022","DEV->PC","81 10 FC 81 0E",".....","129 016 252 129 014",5
"14:41:05.717","PC->DEV","02 1A 81 9D","....","002 026 129 157",4
"14:41:05.724","DEV->PC","02 1A 81 9D","....","002 026 129 157",4
"14:41:06.421","PC->DEV","02 1A 80 9C","....","002 026 128 156",4
"14:41:06.427","DEV->PC","02 1A 80 9C","....","002 026 128 156",4
"14:41:07.127","PC->DEV","05 22 11 00 04 01 3D","."....=","005 034 017 000 004 001 061",7
"14:41:07.131","DEV->PC","05 22 11 00 04 01 3D","."....=","005 034 017 000 004 001 061",7
"14:41:07.835","PC->DEV","05 22 11 20 04 01 5D",".". ..]","005 034 017 032 004 001 093",7
"14:41:07.850","DEV->PC","05 22 11 20 04 01 5D",".". ..]","005 034 017 032 004 001 093",7
"14:41:08.545","PC->DEV","05 22 11 40 04 01 7D",".".@..}","005 034 017 064 004 001 125",7
"14:41:08.553","DEV->PC","05 22 11 40 04 01 7D",".".@..}","005 034 017 064 004 001 125",7
"14:41:09.249","PC->DEV","05 22 11 60 04 01 9D",".".`...","005 034 017 096 004 001 157",7
"14:41:09.257","DEV->PC","05 22 11 60 04 01 9D",".".`...","005 034 017 096 004 001 157",7
"14:41:09.958","PC->DEV","05 22 12 00 04 01 3E","."....>","005 034 018 000 004 001 062",7
"14:41:09.961","DEV->PC","05 22 12 00","."..","005 034 018 000",4
"14:41:09.978","DEV->PC","04 01 3E","..>","004 001 062",3
"14:41:10.667","PC->DEV","05 22 12 20 04 01 5E",".". ..^","005 034 018 032 004 001 094",7
"14:41:10.680","DEV->PC","05 22 12 20 04 01 5E",".". ..^","005 034 018 032 004 001 094",7
"14:41:11.369","PC->DEV","05 22 13 01 04 01 40","."....@","005 034 019 001 004 001 064",7
"14:41:11.384","DEV->PC","05 22 13 01 04 01 40","."....@","005 034 019 001 004 001 064",7
"14:41:12.071","PC->DEV","05 22 13 02 04 01 41","."....A","005 034 019 002 004 001 065",7
"14:41:12.088","DEV->PC","05 22 13 02 04 01 41","."....A","005 034 019 002 004 001 065",7
"14:41:12.781","PC->DEV","05 22 13 03 04 01 42","."....B","005 034 019 003 004 001 066",7
"14:41:12.791","DEV->PC","05 22 13 03 04 01 42","."....B","005 034 019 003 004 001 066",7
"14:41:13.485","PC->DEV","05 22 13 04 04 01 43","."....C","005 034 019 004 004 001 067",7
"14:41:13.494","DEV->PC","05 22 13 04 04 01 43","."....C","005 034 019 004 004 001 067",7
"14:41:14.191","PC->DEV","05 22 13 05 04 01 44","."....D","005 034 019 005 004 001 068",7
"14:41:14.198","DEV->PC","05 22 13 05 04 01 44","."....D","005 034 019 005 004 001 068",7
"14:41:14.897","PC->DEV","05 22 13 07 04 01 46","."....F","005 034 019 007 004 001 070",7
"14:41:14.901","DEV->PC","05 22 13 07 04 01 46","."....F","005 034 019 007 004 001 070",7
"14:41:15.607","PC->DEV","05 22 13 08 04 01 47","."....G","005 034 019 008 004 001 071",7
"14:41:15.621","DEV->PC","05 22 13 08 04 01 47","."....G","005 034 019 008 004 001 071",7
"14:41:16.315","PC->DEV","05 22 13 09 04 01 48","."....H","005 034 019 009 004 001 072",7
"14:41:16.324","DEV->PC","05 22 13 09 04 01 48","."....H","005 034 019 009 004 001 072",7
"14:41:17.024","PC->DEV","05 22 13 0A 04 01 49","."....I","005 034 019 010 004 001 073",7
"14:41:17.029","DEV->PC","05 22 13 0A 04 01","."....","005 034 019 010 004 001",6
"14:41:17.044","DEV->PC","49","I","073",1
"14:41:17.731","PC->DEV","05 22 13 0B 04 01 4A","."....J","005 034 019 011 004 001 074",7
"14:41:17.748","DEV->PC","05 22 13 0B 04 01 4A","."....J","005 034 019 011 004 001 074",7
"14:41:18.438","PC->DEV","05 22 13 0D 04 01 4C","."....L","005 034 019 013 004 001 076",7
"14:41:18.452","DEV->PC","05 22 13 0D 04 01 4C","."....L","005 034 019 013 004 001 076",7
"14:41:19.148","PC->DEV","02 30 00 32",".0.2","002 048 000 050",4
"14:41:19.155","DEV->PC","02 30 00 32",".0.2","002 048 000 050",4
"14:41:19.859","PC->DEV","02 30 20 52",".0 R","002 048 032 082",4
"14:41:19.874","DEV->PC","02 30 20 52",".0 R","002 048 032 082",4
"14:41:20.572","PC->DEV","02 30 40 72",".0@r","002 048 064 114",4
"14:41:20.578","DEV->PC","02 30 40 72",".0@r","002 048 064 114",4
"14:41:21.280","PC->DEV","02 3B 00 3D",".;.=","002 059 000 061",4
"14:41:21.297","DEV->PC","02 3B 00 3D",".;.=","002 059 000 061",4
"14:41:21.992","PC->DEV","02 31 00 33",".1.3","002 049 000 051",4
"14:41:22.000","DEV->PC","02 31 00 33",".1.3","002 049 000 051",4
"14:41:23.720","PC->DEV","01",".","001",1
"14:41:23.727","DEV->PC","01",".","001",1
"14:41:23.731","PC->DEV","3E",">","062",1
"14:41:23.741","PC->DEV","3F","?","063",1
"14:41:23.744","DEV->PC","3E",">","062",1
"14:41:23.777","DEV->PC","3F","?","063",1
